source	name	p_value	intersection_size	effective_domain_size	precision	recall
GO:BP	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	0.037007376318405324	2	21026	0.4	0.043478260869565216
GO:BP	circadian behavior	0.037007376318405324	2	21026	0.4	0.043478260869565216
REAC	Deubiquitination	0.03746840052096822	3	11004	0.6	0.010067114093959731
REAC	Diseases of DNA repair	0.03979971311616967	2	11004	0.4	0.04
GO:BP	rhythmic behavior	0.04032499539611897	2	21026	0.4	0.041666666666666664
GO:BP	regulation of cell cycle checkpoint	0.04032499539611897	2	21026	0.4	0.041666666666666664
GO:BP	regulation of multicellular organismal process	0.04346152154066965	5	21026	1.0	0.0016914749661705007
GO:BP	intracellular signal transduction	0.0441276429455138	5	21026	1.0	0.0016863406408094434
GO:BP	regulation of neurogenesis	0.044539870285691174	3	21026	0.6	0.007936507936507936
GO:BP	epithelium development	0.045246345639284265	4	21026	0.8	0.0032310177705977385
GO:BP	replication fork processing	0.04556709314800562	2	21026	0.4	0.0392156862745098
GO:BP	response to gamma radiation	0.0473852634583707	2	21026	0.4	0.038461538461538464
GO:BP	regulation of signal transduction	0.049510631872357644	5	21026	1.0	0.0016479894528675016
GO:CC	multivesicular body, internal vesicle lumen	0.04994332431556279	1	22149	0.2	1.0
GO:CC	BRCA2-MAGE-D1 complex	0.04994332431556279	1	22149	0.2	1.0
REAC	DNA Repair	0.050251091887387335	3	11004	0.6	0.00911854103343465
GO:CC	PML body	0.05162001189992643	2	22149	0.4	0.018518518518518517
GO:BP	negative regulation of G1/S transition of mitotic cell cycle	0.055011695364487655	2	21026	0.4	0.03571428571428571
GO:BP	regulation of cell growth	0.0551075807996561	3	21026	0.6	0.007389162561576354
GO:BP	positive regulation of miRNA transcription	0.057006690154699065	2	21026	0.4	0.03508771929824561
GO:BP	in utero embryonic development	0.057985329192246964	3	21026	0.6	0.007263922518159807
GO:BP	glial cell proliferation	0.05903701933449143	2	21026	0.4	0.034482758620689655
REAC	TP53 Regulates Transcription of DNA Repair Genes	0.05933682969795107	2	11004	0.4	0.03278688524590164
GO:BP	negative regulation of signal transduction	0.05935895121885321	4	21026	0.8	0.0030165912518853697
GO:BP	DNA-templated DNA replication maintenance of fidelity	0.061102672738468686	2	21026	0.4	0.03389830508474576
REAC	Transcriptional Regulation by TP53	0.06506655400749876	3	11004	0.6	0.008356545961002786
GO:BP	negative regulation of cell cycle G1/S phase transition	0.06533991156468068	2	21026	0.4	0.03278688524590164
GO:MF	single-stranded DNA binding	0.07204514040563197	2	20246	0.4	0.01639344262295082
GO:BP	positive regulation of macromolecule metabolic process	0.07402702815230298	5	21026	1.0	0.0015206812652068127
GO:BP	positive regulation of miRNA metabolic process	0.07423783279163314	2	21026	0.4	0.03076923076923077
GO:BP	regulation of multicellular organismal development	0.07736432659888316	4	21026	0.8	0.0028208744710860366
REAC	HDR through Homologous Recombination (HRR)	0.0781767745523577	2	11004	0.4	0.02857142857142857
GO:BP	regulation of nervous system development	0.07836788820115008	3	21026	0.6	0.006564551422319475
GO:BP	negative regulation of signaling	0.08109016666375314	4	21026	0.8	0.0027874564459930314
GO:BP	negative regulation of cell communication	0.08131340274740494	4	21026	0.8	0.002785515320334262
GO:BP	positive regulation of reactive oxygen species metabolic process	0.0861533531335786	2	21026	0.4	0.02857142857142857
GO:BP	mitotic DNA damage checkpoint signaling	0.0861533531335786	2	21026	0.4	0.02857142857142857
GO:BP	regulation of DNA-templated transcription	0.08869787212405383	5	21026	1.0	0.0014667057788207685
REAC	PTEN Loss of Function in Cancer	0.09015480662147875	1	11004	0.2	1.0
REAC	Loss of function of TP53 in cancer due to loss of tetramerization ability	0.09015480662147875	1	11004	0.2	1.0
REAC	Loss of Function of TP53 in Cancer	0.09015480662147875	1	11004	0.2	1.0
GO:BP	regulation of RNA biosynthetic process	0.09119884297530309	5	21026	1.0	0.0014585764294049008
GO:BP	cell growth	0.0935187220645106	3	21026	0.6	0.006185567010309278
REAC	Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	0.09459767468388602	2	11004	0.4	0.025974025974025976
GO:BP	mitotic DNA integrity checkpoint signaling	0.09631947268904516	2	21026	0.4	0.02702702702702703
GO:BP	centrosome duplication	0.09631947268904516	2	21026	0.4	0.02702702702702703
REAC	DNA Double Strand Break Response	0.09706937795623219	2	11004	0.4	0.02564102564102564
GO:BP	regulation of signaling	0.0980508537599884	5	21026	1.0	0.001437607820586544
GO:BP	regulation of cell communication	0.09918437777995485	5	21026	1.0	0.001434308663224326
GO:CC	Shc-EGFR complex	0.09987762870624974	1	22149	0.2	0.5
GO:MF	inositol pentakisphosphate phosphatase activity	0.09997488484514878	1	20246	0.2	0.5
GO:MF	phosphatidylinositol-3,4-bisphosphate 3-phosphatase activity	0.09997488484514878	1	20246	0.2	0.5
GO:MF	inositol-1,3,4,5-tetrakisphosphate 3-phosphatase activity	0.09997488484514878	1	20246	0.2	0.5
GO:MF	inositol-1,3,4,5,6-pentakisphosphate 3-phosphatase activity	0.09997488484514878	1	20246	0.2	0.5
GO:BP	regulation of miRNA transcription	0.10161354369595858	2	21026	0.4	0.02631578947368421
GO:BP	regulation of tissue remodeling	0.10161354369595858	2	21026	0.4	0.02631578947368421
GO:MF	protein phosphatase binding	0.1016716570125336	2	20246	0.4	0.013793103448275862
GO:BP	regulation of DNA metabolic process	0.10237448241420911	3	21026	0.6	0.006
GO:BP	miRNA transcription	0.10431329651320338	2	21026	0.4	0.025974025974025976
GO:MF	acyltransferase activity	0.10796958575876463	3	20246	0.6	0.0038560411311053984
GO:BP	DNA-templated transcription	0.10848220153163159	5	21026	1.0	0.0014088475626937165
REAC	TP53 Regulates Metabolic Genes	0.11255864905696886	2	11004	0.4	0.023809523809523808
GO:BP	regulation of cyclin-dependent protein serine/threonine kinase activity	0.11262330257173006	2	21026	0.4	0.025
GO:BP	positive regulation of metabolic process	0.11602378414132593	5	21026	1.0	0.0013900472616068947
REAC	Meiotic recombination	0.11797238696234125	2	11004	0.4	0.023255813953488372
GO:BP	nucleotide-excision repair	0.12124921722457448	2	21026	0.4	0.024096385542168676
GO:BP	intrinsic apoptotic signaling pathway by p53 class mediator	0.12124921722457448	2	21026	0.4	0.024096385542168676
REAC	Diseases of signal transduction by growth factor receptors and second messengers	0.12183071801662347	3	11004	0.6	0.006756756756756757
GO:BP	regulation of RNA metabolic process	0.13129253127627452	5	21026	1.0	0.0013561160835367507
REAC	PI3K/AKT Signaling in Cancer	0.13205369840299241	2	11004	0.4	0.02197802197802198
GO:CC	microtubule organizing center	0.13284459836072723	3	22149	0.6	0.003386004514672686
REAC	Regulation of TP53 Activity through Phosphorylation	0.13496358678179385	2	11004	0.4	0.021739130434782608
GO:CC	nuclear body	0.13640376957456288	3	22149	0.6	0.003355704697986577
REAC	G2/M DNA damage checkpoint	0.14087685010109682	2	11004	0.4	0.02127659574468085
REAC	Generic Transcription Pathway	0.14224027906480655	4	11004	0.8	0.0032414910858995136
GO:BP	regulation of miRNA metabolic process	0.14260334860570856	2	21026	0.4	0.022222222222222223
GO:BP	regulation of fibroblast proliferation	0.14260334860570856	2	21026	0.4	0.022222222222222223
GO:CC	BRCA1-BARD1 complex	0.14980291439374832	1	22149	0.2	0.3333333333333333
GO:MF	epidermal growth factor receptor activity	0.1499475125157339	1	20246	0.2	0.3333333333333333
GO:BP	negative regulation of response to stimulus	0.1509243438285892	4	21026	0.8	0.002380952380952381
GO:BP	regulation of cell population proliferation	0.15269967909737445	4	21026	0.8	0.002373887240356083
REAC	Negative regulation of the PI3K/AKT network	0.15620453348809232	2	11004	0.4	0.020202020202020204
GO:BP	positive regulation of DNA-templated transcription	0.15702358573216985	4	21026	0.8	0.002357100766057749
GO:BP	positive regulation of RNA biosynthetic process	0.157752959161155	4	21026	0.8	0.002354326074161271
GO:BP	regulation of peptidyl-serine phosphorylation	0.16567246558907717	2	21026	0.4	0.020618556701030927
GO:MF	phosphatase binding	0.17590351632571544	2	20246	0.4	0.010471204188481676
GO:BP	heart development	0.18017195621384902	3	21026	0.6	0.0049586776859504135
REAC	Regulation of TP53 Expression	0.18027683861554514	1	11004	0.2	0.5
REAC	Defective DNA double strand break response due to BARD1 loss of function	0.18027683861554514	1	11004	0.2	0.5
REAC	Defective DNA double strand break response due to BRCA1 loss of function	0.18027683861554514	1	11004	0.2	0.5
REAC	Impaired BRCA2 binding to SEM1 (DSS1)	0.18027683861554514	1	11004	0.2	0.5
REAC	Impaired BRCA2 translocation to the nucleus	0.18027683861554514	1	11004	0.2	0.5
GO:BP	apoptotic signaling pathway	0.1810551509973494	3	21026	0.6	0.0049504950495049506
GO:BP	response to stress	0.184857887405344	5	21026	1.0	0.0012664640324214793
GO:BP	negative regulation of G1 to G0 transition	0.1887308079641403	1	21026	0.2	1.0
GO:BP	negative regulation of synaptic vesicle clustering	0.1887308079641403	1	21026	0.2	1.0
GO:BP	regulation of nucleobase-containing compound metabolic process	0.19490740174145565	5	21026	1.0	0.0012531328320802004
GO:BP	regulation of response to stimulus	0.19564160768860983	5	21026	1.0	0.001252191334835963
GO:BP	regulation of gliogenesis	0.1978471557227599	2	21026	0.4	0.018867924528301886
GO:BP	miRNA metabolic process	0.1978471557227599	2	21026	0.4	0.018867924528301886
GO:CC	BRCA1-B complex	0.19971918259994245	1	22149	0.2	0.25
GO:MF	epidermal growth factor binding	0.1999102656366031	1	20246	0.2	0.25
GO:MF	phosphatidylinositol-3,4-bisphosphate phosphatase activity	0.1999102656366031	1	20246	0.2	0.25
GO:BP	negative regulation of small molecule metabolic process	0.20159644591956558	2	21026	0.4	0.018691588785046728
REAC	RNA Polymerase II Transcription	0.20487566560036	4	11004	0.8	0.002952029520295203
GO:BP	fibroblast proliferation	0.20919949992921114	2	21026	0.4	0.01834862385321101
GO:BP	positive regulation of protein modification process	0.20986278830062963	3	21026	0.6	0.004709576138147566
GO:BP	system development	0.2107966981719294	5	21026	1.0	0.001233654083395016
GO:BP	positive regulation of RNA metabolic process	0.21352696933513926	4	21026	0.8	0.0021798365122615805
REAC	Meiosis	0.21411127308626285	2	11004	0.4	0.017241379310344827
GO:MF	DNA binding	0.22583234759629478	4	20246	0.8	0.0015735641227380016
GO:MF	cytoskeletal protein binding	0.22627457402443443	3	20246	0.6	0.002997002997002997
GO:BP	developmental growth	0.23621896183351784	3	21026	0.6	0.004524886877828055
GO:CC	nuclear chromosome	0.2428254382253443	2	22149	0.4	0.00851063829787234
GO:BP	microtubule cytoskeleton organization	0.2436673595052113	3	21026	0.6	0.004477611940298508
GO:MF	transferase activity	0.24433812875195626	4	20246	0.8	0.0015420200462606013
GO:BP	negative regulation of cell differentiation	0.2447438142403427	3	21026	0.6	0.004470938897168405
GO:BP	regulation of cell cycle G2/M phase transition	0.24513506001031557	2	21026	0.4	0.01694915254237288
GO:BP	behavior	0.24799186724385355	3	21026	0.6	0.004451038575667656
GO:MF	phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity	0.24986314567111573	1	20246	0.2	0.2
GO:MF	ATP-dependent DNA/DNA annealing activity	0.24986314567111573	1	20246	0.2	0.2
GO:BP	negative regulation of protein metabolic process	0.25126804107692313	3	21026	0.6	0.004431314623338257
GO:BP	regulation of DNA replication	0.25350288536879734	2	21026	0.4	0.016666666666666666
GO:BP	peptidyl-amino acid modification	0.26126641277750123	3	21026	0.6	0.004373177842565598
GO:BP	stem cell proliferation	0.2663148243130066	2	21026	0.4	0.016260162601626018
GO:BP	positive regulation of mitotic cell cycle	0.27065481724536905	2	21026	0.4	0.016129032258064516
GO:BP	negative regulation of cellular component organization	0.27850326767622985	3	21026	0.6	0.0042796005706134095
GO:BP	negative regulation of cell population proliferation	0.28441002948545197	3	21026	0.6	0.00424929178470255
REAC	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	0.2851090585760084	2	11004	0.4	0.014925373134328358
GO:CC	myelin sheath adaxonal region	0.29952467145440576	1	22149	0.2	0.16666666666666666
GO:CC	BRCA1-C complex	0.29952467145440576	1	22149	0.2	0.16666666666666666
GO:CC	multivesicular body, internal vesicle	0.29952467145440576	1	22149	0.2	0.16666666666666666
GO:MF	histone deacetylase regulator activity	0.2998061540827435	1	20246	0.2	0.16666666666666666
REAC	PTEN Regulation	0.30222924611244056	2	11004	0.4	0.014492753623188406
GO:BP	chromatin remodeling	0.3076027798504631	3	21026	0.6	0.004137931034482759
GO:BP	cell population proliferation	0.3082663508910978	4	21026	0.8	0.0019851116625310174
REAC	Homology Directed Repair	0.31097163521218457	2	11004	0.4	0.014285714285714285
GO:BP	glial cell development	0.31595919471901684	2	21026	0.4	0.014925373134328358
GO:BP	negative regulation of neurogenesis	0.31595919471901684	2	21026	0.4	0.014925373134328358
GO:BP	tissue development	0.318586385006549	4	21026	0.8	0.001968503937007874
REAC	Gene expression (Transcription)	0.3186250558089486	4	11004	0.8	0.002635046113306983
GO:BP	positive regulation of nucleobase-containing compound metabolic process	0.3210512542454758	4	21026	0.8	0.0019646365422396855
GO:BP	mitotic cell cycle checkpoint signaling	0.3254350629972827	2	21026	0.4	0.014705882352941176
GO:BP	positive regulation of DNA repair	0.3302248058702945	2	21026	0.4	0.014598540145985401
GO:BP	regulation of smooth muscle cell proliferation	0.3399078588312135	2	21026	0.4	0.014388489208633094
GO:BP	centrosome cycle	0.3448011488223272	2	21026	0.4	0.014285714285714285
GO:BP	negative regulation of nervous system development	0.34972893442509506	2	21026	0.4	0.014184397163120567
GO:CC	condensed chromosome	0.35579610017305663	2	22149	0.4	0.007017543859649123
GO:BP	smooth muscle cell proliferation	0.35968795228795036	2	21026	0.4	0.013986013986013986
REAC	Transcriptional activation of p53 responsive genes  	0.36042261446711965	1	11004	0.2	0.25
REAC	Transcriptional  activation of  cell cycle inhibitor p21 	0.36042261446711965	1	11004	0.2	0.25
REAC	PLCG1 events in ERBB2 signaling	0.36042261446711965	1	11004	0.2	0.25
GO:MF	molecular function activator activity	0.36305596058756207	3	20246	0.6	0.002548853016142736
REAC	Reproduction	0.37555836453874425	2	11004	0.4	0.012987012987012988
GO:BP	positive regulation of prolactin secretion	0.37742570994806335	1	21026	0.2	0.5
GO:BP	negative regulation of keratinocyte migration	0.37742570994806335	1	21026	0.2	0.5
GO:BP	mitotic recombination-dependent replication fork processing	0.37742570994806335	1	21026	0.2	0.5
GO:BP	negative regulation of glucose catabolic process to lactate via pyruvate	0.37742570994806335	1	21026	0.2	0.5
GO:BP	mitotic DNA replication maintenance of fidelity	0.37742570994806335	1	21026	0.2	0.5
GO:BP	negative regulation of pentose-phosphate shunt	0.37742570994806335	1	21026	0.2	0.5
GO:BP	cell cycle DNA replication maintenance of fidelity	0.37742570994806335	1	21026	0.2	0.5
GO:BP	regulation of protein phosphorylation	0.3801871344373282	3	21026	0.6	0.0038510911424903724
GO:MF	DNA/DNA annealing activity	0.39966256188974814	1	20246	0.2	0.125
GO:MF	inositol tetrakisphosphate phosphatase activity	0.39966256188974814	1	20246	0.2	0.125
REAC	Regulation of TP53 Activity	0.4050469127764204	2	11004	0.4	0.0125
GO:BP	microtubule organizing center organization	0.41154936452042573	2	21026	0.4	0.013071895424836602
REAC	Cell Cycle	0.422481922150167	3	11004	0.6	0.004418262150220913
GO:BP	cell cycle G2/M phase transition	0.42777836486807086	2	21026	0.4	0.01282051282051282
REAC	G2/M Checkpoints	0.44081466581513806	2	11004	0.4	0.011976047904191617
GO:BP	membrane organization	0.44377555148083697	3	21026	0.6	0.0036540803897685747
GO:CC	gamma-tubulin ring complex	0.4491653041622526	1	22149	0.2	0.1111111111111111
GO:MF	anaphase-promoting complex binding	0.44957596421101215	1	20246	0.2	0.1111111111111111
GO:BP	DNA-templated DNA replication	0.44989767621582355	2	21026	0.4	0.0125
REAC	Activation of NOXA and translocation to mitochondria	0.4504463761936013	1	11004	0.2	0.2
GO:BP	multicellular organism development	0.45505269142354476	5	21026	1.0	0.0010577533319229956
GO:CC	ubiquitin ligase complex	0.4556126844327677	2	22149	0.4	0.006191950464396285
GO:BP	regulation of phosphorylation	0.4582460153824935	3	21026	0.6	0.0036144578313253013
REAC	SUMO E3 ligases SUMOylate target proteins	0.46725961931283916	2	11004	0.4	0.011627906976744186
GO:BP	telomere maintenance	0.4725657074558741	2	21026	0.4	0.012195121951219513
GO:BP	signal transduction by p53 class mediator	0.4725657074558741	2	21026	0.4	0.012195121951219513
GO:BP	regulation of cell development	0.4864121236681401	3	21026	0.6	0.0035419126328217238
GO:CC	BRCA1-A complex	0.4990274931299896	1	22149	0.2	0.1
GO:MF	TFIID-class transcription factor complex binding	0.49947950076123293	1	20246	0.2	0.1
GO:MF	ubiquitin ligase activator activity	0.49947950076123293	1	20246	0.2	0.1
GO:MF	phosphatidylinositol trisphosphate phosphatase activity	0.49947950076123293	1	20246	0.2	0.1
GO:MF	protein-containing complex binding	0.49996519113001997	3	20246	0.6	0.00228310502283105
REAC	SUMOylation	0.499976399069476	2	11004	0.4	0.011235955056179775
GO:MF	enzyme regulator activity	0.5280450416570575	3	20246	0.6	0.0022404779686333084
GO:BP	female gamete generation	0.5316322302708913	2	21026	0.4	0.011494252873563218
GO:BP	peptidyl-serine phosphorylation	0.5316322302708913	2	21026	0.4	0.011494252873563218
GO:BP	negative regulation of cell growth	0.5316322302708913	2	21026	0.4	0.011494252873563218
GO:BP	negative regulation of apoptotic process	0.5334268505446476	3	21026	0.6	0.003432494279176201
REAC	PTK6 promotes HIF1A stabilization	0.5404373990304634	1	11004	0.2	0.16666666666666666
GO:CC	microtubule cytoskeleton	0.5448513763218016	3	22149	0.6	0.0020891364902506965
GO:BP	positive regulation of response to stimulus	0.5451022254951571	4	21026	0.8	0.001716001716001716
GO:MF	annealing activity	0.5493731730029385	1	20246	0.2	0.09090909090909091
GO:BP	chromatin organization	0.5515629701580784	3	21026	0.6	0.003393665158371041
GO:CC	membrane-enclosed lumen	0.5576877665418695	5	22149	1.0	0.0007468259895444362
GO:CC	intracellular organelle lumen	0.5576877665418695	5	22149	1.0	0.0007468259895444362
GO:CC	organelle lumen	0.5576877665418695	5	22149	1.0	0.0007468259895444362
GO:BP	regulation of glucose catabolic process to lactate via pyruvate	0.5660847110753602	1	21026	0.2	0.3333333333333333
GO:BP	glucose catabolic process to lactate	0.5660847110753602	1	21026	0.2	0.3333333333333333
GO:BP	negative regulation of fermentation	0.5660847110753602	1	21026	0.2	0.3333333333333333
